Designator,Footprint,Quantity,Value,LCSC Part #
C100,C_Elec_10x10.2,1,330u,C239324
C101,CP_Elec_10x10.5,1,220u,C2886113
"C102, C103",0805,2,10u,C15850
C300,0603,1,10uF/16V,C19702
"C301, C304",0402,2,100n,C1525
"C302, C303",0402,2,10p,C32949
"D100, D201",SOD_123FL,2,SMF24A-TP,C545276
D101,D_SOD-123,1,MMSZ4697T1G,C48870
D102,D_SMA,1,ss34,C8678
D103,0603,1,GREEN,C72043
D200,0603,1,LED,C72038
D202,SOD_123FL,1,SM4007PL,C64898
D203,0603,1,LED_DOOR,C72038
"H2, H3, H4",MountingHole_3.2mm_M3,3,MountingHole,
H200,WIZ850IO,1,WIZ850IO,
J100,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,VCC INPUT,
J101,PinHeader_1x02_P2.54mm_Vertical,1,SWITCH ON/OFF,
J103,PinHeader_1x02_P2.54mm_Vertical,1,FAN VOLTAGE,
J200,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,DOOR_OUTPUT,
J300,PinHeader_1x07_P2.54mm_Vertical,1,MCP_EXTERNAL,
J301,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,CAN_INPUT,
K200,HF49FD0051H11F,1,HF49FD/005-1H12T,
L100,SMD_12.3X12.3mm,1,68u,C2929504
Q100,SOT-23,1,WST4045,C719073
Q200,SOT-23,1,MMBT3904,C20526
R100,1206,1,100K,C17900
"R101, R200, R201, R202",0603,4,1k,C21190
"R203, R300",0603,2,10K,C25804
"TP100, TP101, TP102, TP103, TP104, TP300, TP301",TestPoint_Pad_D2.0mm,7,TestPoint,
U100,TO-263-5_TabPin3,1,LM2596S-5,C10002
U101,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U200,MODULE_MEGA_PRO_EMBED_CH340G___ATMEGA2560,1,MEGA_PRO_EMBED_CH340G_{slash}_ATMEGA2560,
U300,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,C12368
U301,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
Y300,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C400090
