Designator,Mid X,Mid Y,Rotation,Layer
C100,159.131,-40.0304,0,top
C101,159.2326,-64.897,0,top
C102,174.244,-45.1358,90,top
C103,178.6128,-38.4556,180,top
C300,195.6562,-102.6414,0,top
C301,195.9128,-100.5586,0,top
C302,209.7024,-92.5068,0,top
C303,209.7024,-87.1474,180,top
C304,203.3524,-101.8286,0,top
D100,144.9324,-36.1696,0,top
D101,149.4028,-40.1828,270,top
D102,142.5702,-48.5394,180,top
D103,143.256,-68.2752,0,top
D200,165.1132,-76.2762,0,top
D201,212.0138,-70.6628,270,top
D202,196.2912,-73.2536,90,top
D203,199.9488,-72.517,270,top
H200,204.216,-44.5262,0,top
J100,147.5486,-31.8516,180,top
J101,131.826,-36.322,0,top
J103,131.6482,-63.0174,0,top
J200,216.3704,-73.7362,90,top
J300,192.2526,-117.729,90,top
J301,216.5858,-107.315,90,top
K200,199.4154,-64.4398,180,top
L100,144.0434,-58.3184,270,top
Q100,143.8656,-39.8272,0,top
Q200,203.5556,-72.9996,270,top
R100,144.1704,-43.7642,180,top
R101,143.2814,-70.7136,180,top
R200,165.0878,-78.613,0,top
R201,199.9488,-76.4032,270,top
R202,203.4286,-77.1144,180,top
R203,207.645,-76.1746,270,top
R300,192.0494,-99.6188,90,top
U100,160.5178,-53.3082,0,top
U101,180.8226,-43.7642,180,top
U200,156.4132,-101.981,0,top
U300,199.5932,-93.3196,90,top
U301,203.3524,-106.4768,180,top
Y300,210.312,-89.6874,0,top
